title,pubDate,guid,link,description
Nicola Sturgeon to set out plan for second independence referendum,"Mon, 27 Jun 2022 23:10:44 GMT",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-61954331,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-61954331?at_medium=RSS&at_campaign=KARANGA,"She will say a ""lawful"" vote can be held in October 2023, with or without UK government consent."
Amtrak derailment: Three killed in Missouri after train hits truck,"Tue, 28 Jun 2022 00:36:40 GMT",https://www.bbc.co.uk/news/world-us-canada-61958813,https://www.bbc.co.uk/news/world-us-canada-61958813?at_medium=RSS&at_campaign=KARANGA,More than 250 people were onboard the Los Angeles-Chicago train when it hit a dump truck.
Defence Secretary Ben Wallace to call for more military spending over Russian threat,"Tue, 28 Jun 2022 02:02:59 GMT",https://www.bbc.co.uk/news/uk-61961675,https://www.bbc.co.uk/news/uk-61961675?at_medium=RSS&at_campaign=KARANGA,Ben Wallace says the UK military needs more money to counter the threat posed by Russia.
Wimbledon 2022: Andy Murray beats James Duckworth on Centre Court,"Mon, 27 Jun 2022 22:58:01 GMT",https://www.bbc.co.uk/sport/tennis/61959771,https://www.bbc.co.uk/sport/tennis/61959771?at_medium=RSS&at_campaign=KARANGA,Britain's Andy Murray maintains his record of never losing in the first round at Wimbledon with an encouraging win against Australia's James Duckworth.
"Rochdale grooming gang: Wrong to deport members, tribunal told","Mon, 27 Jun 2022 18:12:28 GMT",https://www.bbc.co.uk/news/uk-england-manchester-61957132,https://www.bbc.co.uk/news/uk-england-manchester-61957132?at_medium=RSS&at_campaign=KARANGA,Two members of the Rochdale grooming gang are appealing against their deportation to Pakistan.
"Swansea: Girl, 7, may need skin graft after burns from buried barbecue","Mon, 27 Jun 2022 21:47:50 GMT",https://www.bbc.co.uk/news/uk-wales-61961111,https://www.bbc.co.uk/news/uk-wales-61961111?at_medium=RSS&at_campaign=KARANGA,Alex Adenaike said her daughter was waiting to see if she needed a skin graft.
The Papers: 'Murder at the shops' and 'doctors demand 30% rise',"Mon, 27 Jun 2022 22:55:00 GMT",https://www.bbc.co.uk/news/blogs-the-papers-61960988,https://www.bbc.co.uk/news/blogs-the-papers-61960988?at_medium=RSS&at_campaign=KARANGA,A Russian missile strike on a Ukrainian mall and the prospect of a doctors' strike lead the front pages.
Hong Kong: ‘We don’t know where the red line is’,"Mon, 27 Jun 2022 23:03:39 GMT",https://www.bbc.co.uk/news/world-asia-china-61957394,https://www.bbc.co.uk/news/world-asia-china-61957394?at_medium=RSS&at_campaign=KARANGA,China promised to protect democratic freedoms for 50 years but new laws have effectively silenced all criticism.
A-level and GCSE exams: What happens to your papers?,"Mon, 27 Jun 2022 23:01:13 GMT",https://www.bbc.co.uk/news/education-61893149,https://www.bbc.co.uk/news/education-61893149?at_medium=RSS&at_campaign=KARANGA,Exam season is coming to an end this week for many students and millions of papers will be examined.
What's it like living with an invisible disability?,"Mon, 27 Jun 2022 23:06:12 GMT",https://www.bbc.co.uk/news/uk-england-london-61903090,https://www.bbc.co.uk/news/uk-england-london-61903090?at_medium=RSS&at_campaign=KARANGA,"Emily Hale had to have spinal fusion surgery for her scoliosis, now she's helping others."
Harry Gration: Looking back on a life in front of the camera,"Mon, 27 Jun 2022 18:00:05 GMT",https://www.bbc.co.uk/news/uk-england-leeds-61958720,https://www.bbc.co.uk/news/uk-england-leeds-61958720?at_medium=RSS&at_campaign=KARANGA,We look back over the career and life of BBC Look North's Harry Gration
Highlights: Radacanu beats Uytvanck,"Mon, 27 Jun 2022 17:54:28 GMT",https://www.bbc.co.uk/sport/av/tennis/61959705,https://www.bbc.co.uk/sport/av/tennis/61959705?at_medium=RSS&at_campaign=KARANGA,Watch US Open champion Emma Radacanu's best moments as she beats Belgium's Alison van Uytvanck in her first appearance on Centre Court at Wimbledon.
Ukraine war: Russian fashion designers feel sanctions bite,"Mon, 27 Jun 2022 16:39:07 GMT",https://www.bbc.co.uk/news/world-europe-61956355,https://www.bbc.co.uk/news/world-europe-61956355?at_medium=RSS&at_campaign=KARANGA,Designers at Moscow Fashion Week wonder how they can stay in business without access to imported materials.
Glastonbury 2022: 11 weird and wonderful moments,"Mon, 27 Jun 2022 07:31:20 GMT",https://www.bbc.co.uk/news/entertainment-arts-61945263,https://www.bbc.co.uk/news/entertainment-arts-61945263?at_medium=RSS&at_campaign=KARANGA,"Inflatable sausages, ear-splitting screams and surprise stars. All the moments you may have missed."
Adele Roberts: Radio 1 DJ reveals she's free from bowel cancer,"Mon, 27 Jun 2022 10:29:22 GMT",https://www.bbc.co.uk/news/newsbeat-61950848,https://www.bbc.co.uk/news/newsbeat-61950848?at_medium=RSS&at_campaign=KARANGA,"The Radio 1 DJ wrote on Instagram to share the news, eight months after starting treatment."
The abortion clues that can hide on your phone,"Mon, 27 Jun 2022 23:31:51 GMT",https://www.bbc.co.uk/news/technology-61952794,https://www.bbc.co.uk/news/technology-61952794?at_medium=RSS&at_campaign=KARANGA,There are a number of concerns around data protection following the US Supreme Court's ruling on abortion.
El Salvador's abortion ban: 'I was sent to prison for suffering a miscarriage',"Mon, 27 Jun 2022 23:36:27 GMT",https://www.bbc.co.uk/news/world-61798330,https://www.bbc.co.uk/news/world-61798330?at_medium=RSS&at_campaign=KARANGA,Elsy was sentenced to 30 years for aggravated homicide after losing her baby in a miscarriage in El Salvador.
Brexit: What is the Northern Ireland Protocol?,"Mon, 27 Jun 2022 14:20:58 GMT",https://www.bbc.co.uk/news/explainers-53724381,https://www.bbc.co.uk/news/explainers-53724381?at_medium=RSS&at_campaign=KARANGA,The Northern Ireland Protocol is at the centre of a dispute between the UK and the EU.
Bangladesh floods: 'I have nothing left except my life',"Mon, 27 Jun 2022 23:39:45 GMT",https://www.bbc.co.uk/news/world-asia-61949495,https://www.bbc.co.uk/news/world-asia-61949495?at_medium=RSS&at_campaign=KARANGA,Khudeza survived the worst floods in north-east Bangladesh for a century but millions are homeless.
